id,username,created_at,lng,lat,text
1519544184327348227,rachel_doran_,Thu Apr 28 05:08:59 +0000 2022,-96.808839,33.264434,"Taking science outside!☀️🪴🌸 Identifying plant parts, ways that young plants resemble parent plants and observing ch… https://t.co/9QgGqTUELL"
1519544185791123456,peteburdette,Thu Apr 28 05:09:00 +0000 2022,-73.8311875,40.6708795,"Tonight I'm thinking about how it's ridiculous that I've never been on tv or in a movie yet, other than a few thing… https://t.co/TXPw43pAO9"
1519544186973741057,GuilleDJM,Thu Apr 28 05:09:00 +0000 2022,-122.4359785,37.7706565,@chipyoungxxx Please do 😜
1519544187665932288,kemp_travis,Thu Apr 28 05:09:00 +0000 2022,-101.816092,35.2111155,"Like I mentioned before, if you want to learn more about autism, read a book about it, read an article, watch a doc… https://t.co/VaY8CbZJdL"
1519544188194459651,Jesse_Horne,Thu Apr 28 05:09:00 +0000 2022,-84.433106,33.7671945,"… and, I didn’t use any bot to get this."
1519544188437774337,Moyoswrld,Thu Apr 28 05:09:00 +0000 2022,-81.1972755,28.588445,@GSWDGoldz @sindhexx Man you should seriously delete this. You don’t have to prove nothing to noone. You’re basically violating her
1519544190299828225,theeselfqueen,Thu Apr 28 05:09:01 +0000 2022,-122.2286855,37.791994,Basically both of these niggas are trying to get warm - @NUNUKNOWZ the theologian 😭
1519544191251976194,pdxpolicelog,Thu Apr 28 05:09:01 +0000 2022,-122.486794,45.495725,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 17100 SE RHONE ST, PORT [Portland Police #PP22000111889] 21:52 #pdx911"
1519544191897939969,Mel_Ankoly,Thu Apr 28 05:09:01 +0000 2022,-118.4119065,34.0207895,@jdflynn Oh you religious nuts.
1519544192099241984,pdxpolicelog,Thu Apr 28 05:09:01 +0000 2022,-122.522247,45.550078,"VEHICLE STOLEN - COLD at 3700 NE 136TH PL, PORT [Portland Police #PP22000111877] 21:25 #pdx911"
1519544193684705281,pdxsherrifflog,Thu Apr 28 05:09:02 +0000 2022,-122.468753,45.516922,"DISTURBANCE - PRIORITY at 800 SE 190TH AVE, GRSM [Gresham Police #PG22000015437] 21:10 #pdx911"
1519544193798057984,JeevanSukhi,Thu Apr 28 05:09:02 +0000 2022,-86.611411,34.7060265,@XAE_AXii The time we jointly share spaceEnrich your followers as everyone wants moreजय जय श्रीराम हर हर महा… https://t.co/jpVwVVQB3F
1519544195391889409,GARDENER2009,Thu Apr 28 05:09:02 +0000 2022,-81.4766765,28.1402165,@PupMysteryAD @dkinkyboy Three
1519544196574580736,jefffieldsacto,Thu Apr 28 05:09:02 +0000 2022,-121.469664,38.561722,@Ppallo @david_j_roth I know you're gonna miss your medium-sized city where there are no shopping carts at the Safeway
1519544196809515011,HusebyAutumn,Thu Apr 28 05:09:02 +0000 2022,-76.13783649999999,40.812753,Ok so… add chest pain to that list.
1519544197736452096,sammy_branch,Thu Apr 28 05:09:03 +0000 2022,-100.0768885,31.1688935,Kenny is trying his BEST but I guess that isn’t enough for some. Some pay 300 for rent and get real jobs and some… https://t.co/HedEkq2P3I
1519544197812047872,hilltop_tavern,Thu Apr 28 05:09:03 +0000 2022,-117.20961571,34.42574412,Just posted a photo @ Hilltop Tavern and Inn https://t.co/ccznhmrbpB
1519544197933531136,backwoodbimbo,Thu Apr 28 05:09:03 +0000 2022,-122.630908,45.536402,"if this tweet feels like trauma dumping, i take 0 accountability, ocean told me it was funny and that i should tweet it &lt;3"
1519544198306881537,Elliot_4pf24,Thu Apr 28 05:09:03 +0000 2022,-87.9672925,43.0567225,Shaq is the dumbest but funniest analyst ever
1519544203302289408,StadiumStephy,Thu Apr 28 05:09:04 +0000 2022,-95.44648649999999,29.838495,Just need to find me a man who wants to dance bachata all around the house. #TheDream 😌
1519544203549806592,SirAfronomical,Thu Apr 28 05:09:04 +0000 2022,-75.117998,40.0048655,Life is a blast when you know what you're doinBest to know what you're doin 'fore your life get ruinedLife is a t… https://t.co/qB1MaIdFfb
1519544203625259008,colinsalao,Thu Apr 28 05:09:04 +0000 2022,-87.732013,41.8335845,@_alba__ Is he still eligible if he doesn't declare this year specifically? Cause I'd assume that's the only reason… https://t.co/Apeyj2dxmh
1519544204736798722,angelica007006,Thu Apr 28 05:09:04 +0000 2022,-80.11290349999999,26.533486,@KatsKitties I'll send you some goodies
1519544204489367553,RyDeve,Thu Apr 28 05:09:04 +0000 2022,-82.44269399999999,27.9965945,"Game 1:+21 A1 P“Hate to come home with a tie there, ya know.” | #PYLONS #mensleague #BeTheCone… https://t.co/VpfjElSrVO"
1519544205764296704,menofirestudio,Thu Apr 28 05:09:05 +0000 2022,-118.4119065,34.0207895,Damn when your ex looking good asf ….. stand up ! I’m weak
1519544207836422146,KristyyHahn_,Thu Apr 28 05:09:05 +0000 2022,-100.0768885,31.1688935,Good night 😴
1519544208578822144,des_lashai,Thu Apr 28 05:09:05 +0000 2022,-92.1530175,32.526733,"I promise to love you and protect you forever, and even after forever💕my perfect little baby girl, E’lani Peyton🥹 https://t.co/TAZEMnq0V8"
